37,41,SBI Life Insurance Company Limited,INE123W01016,SBILIFE,"1,24,743.59",SBILIFE,"1,24,746.20",,,"1,24,744.89",Large Cap,SBILIFE,48.0,SBI Life Insurance Company Limited,15023154.751885
38,42,"Hindustan Zinc Ltd.,",INE267A01025,HINDZINC,"1,22,173.75",HINDZINC,"1,22,184.39",,,"1,22,179.07",Large Cap,HINDZINC,62.0,Hindustan Zinc Limited,12350607.437
39,43,HDFC LIFE INSURANCE COMPANY LIMITED,INE795G01014,HDFCLIFE,"1,17,908.70",HDFCLIFE,"1,17,831.24",,,"1,17,869.97",Large Cap,HDFCLIFE,55.0,HDFC Life Insurance Company Limited,13622484.914011499
40,44,"Grasim Industries Ltd.,",INE047A01021,GRASIM,"1,09,410.78",GRASIM,"1,09,411.80",,,"1,09,411.29",Large Cap,GRASIM,47.0,Grasim Industries Limited,15061395.336298
41,45,Bajaj Auto Limited,INE917I01010,BAJAJ-AUTO,"1,09,078.00",BAJAJ-AUTO,"1,08,263.69",,,"1,08,670.84",Large Cap,BAJAJ-AUTO,30.0,Bajaj Auto Limited,25905708.848513998
42,46,Vedanta Limited,INE205A01025,VEDL,"1,03,557.23",VEDL,"1,03,563.40",,,"1,03,560.31",Large Cap,VEDL,81.0,Vedanta Limited,10097790.7482435
43,47,Tech Mahindra Limited,INE669C01036,TECHM,"1,01,847.66",TECHM,"1,01,805.03",,,"1,01,826.35",Large Cap,TECHM,63.0,Tech Mahindra Limited,12188534.149834
44,48,Indian Oil Corporation Ltd.,INE242A01010,IOC,"1,00,900.77",IOC,"1,00,893.42",,,"1,00,897.10",Large Cap,IOC,35.0,Indian Oil Corporation Limited,23688377.3874825
45,49,"Siemens Ltd.,",INE003A01024,SIEMENS,"1,00,604.39",SIEMENS,"1,00,613.89",,,"1,00,609.14",Large Cap,SIEMENS,42.0,Siemens Limited,19138080.5638275
46,50,Dabur India Ltd.,INE016A01026,DABUR,"9 9,833.55",DABUR,"9 9,844.32",,,"99,838.94",Large Cap,DABUR,85.0,Dabur India Limited,9270422.876003
47,51,Ambuja Cements Ltd.,INE079A01024,AMBUJACEM,"9 5,803.17",AMBUJACEM,"9 5,810.88",,,"95,807.02",Large Cap,AMBUJACEM,64.0,Ambuja Cements Limited,12159098.5597815
48,52,Divi's Laboratories Ltd.,INE361B01024,DIVISLAB,"9 5,071.77",DIVISLAB,"9 5,074.16",,,"95,072.97",Large Cap,DIVISLAB,89.0,Divi's Laboratories Limited,9146188.98674
49,53,"Britannia Industries Ltd.,",INE216A01030,BRITANNIA,"9 4,462.67",BRITANNIA,"9 4,480.84",,,"94,471.75",Large Cap,BRITANNIA,69.0,Britannia Industries Limited,11829644.1873
50,54,Hindalco Industries Ltd.,INE038A01020,HINDALCO,"9 3,720.58",HINDALCO,"9 3,719.84",,,"93,720.21",Large Cap,HINDALCO,61.0,Hindalco Industries Limited,12590030.5701075
51,55,DLF LIMITED,INE271C01023,DLF,"9 3,572.53",DLF,"9 3,585.23",,,"93,578.88",Large Cap,DLF,38.0,DLF Limited,22203575.87292
52,56,Eicher Motors Ltd.,INE066A01021,EICHERMOT,"9 2,120.81",EICHERMOT,"9 2,128.05",,,"92,124.43",Large Cap,EICHERMOT,74.0,Eicher Motors Limited,11005069.68659
53,57,Godrej Consumer Products Ltd.,INE102D01028,GODREJCP,"8 9,139.09",GODREJCP,"8 9,147.97",,,"89,143.53",Large Cap,GODREJCP,59.0,Godrej Consumer Products Limited,12803664.878422
54,58,Adani Wilmar Limited,INE699H01024,AWL,"8 6,755.21",AWL,"8 6,769.87",,,"86,762.54",Large Cap,AWL,174.0,Adani Wilmar Limited,4177167.03647
55,59,"Cipla Ltd.,",INE059A01026,CIPLA,"8 6,114.46",CIPLA,"8 6,120.82",,,"86,117.64",Large Cap,CIPLA,66.0,Cipla Limited,12085856.415178
56,60,IndusInd Bank Ltd.,INE095A01012,INDUSINDBK,"8 6,070.09",INDUSINDBK,"8 6,065.25",,,"86,067.67",Large Cap,INDUSINDBK,65.0,IndusInd Bank Limited,12086763.08377
57,61,SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,SBICARD,"8 1,829.96",SBICARD,"8 1,786.68",,,"81,808.32",Large Cap,SBICARD,124.0,SBI Cards and Payment Services Limited,6490372.8575345
58,62,LTIMindtree Limited,INE214T01019,LTIM,"8 0,765.11",LTIM,"8 0,959.56",,,"80,862.33",Large Cap,LTIM,50.0,LTIMindtree Limited,14625731.814696
59,63,"Shree Cements Ltd.,",INE070A01015,SHREECEM,"7 9,598.80",SHREECEM,"7 9,607.49",,,"79,603.15",Large Cap,SHREECEM,86.0,SHREE CEMENT LIMITED,9266564.387718001
60,64,Hindustan Aeronautics Limited,INE066F01012,HAL,"7 8,762.43",HAL,"7 8,772.79",,,"78,767.61",Large Cap,HAL,37.0,Hindustan Aeronautics Limited,22250144.25
61,65,Havells India Limited,INE176B01034,HAVELLS,"7 8,504.30",HAVELLS,"7 8,504.61",,,"78,504.46",Large Cap,HAVELLS,83.0,Havells India Limited,9494247.9045
62,66,ICICI Prudential Life Insurance Company Limited,INE726G01019,ICICIPRULI,"7 4,527.32",ICICIPRULI,"7 4,526.50",,,"74,526.91",Large Cap,ICICIPRULI,95.0,ICICI Prudential Life Insurance Company Limited,8767317.9209665
63,67,"Bharat Electronics Ltd.,",INE263A01024,BEL,"7 3,298.08",BEL,"7 3,311.72",,,"73,304.90",Large Cap,BEL,49.0,Bharat Electronics Limited,14729204.340435
64,68,Bank Of Baroda,INE028A01039,BANKBARODA,"7 3,250.07",BANKBARODA,"7 3,257.31",,,"73,253.69",Large Cap,BANKBARODA,54.0,Bank of Baroda,13654981.8336495
65,69,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,TATACONSUM,"7 2,830.22",TATACONSUM,"7 2,680.39",,,"72,755.31",Large Cap,TATACONSUM,76.0,TATA CONSUMER PRODUCTS LIMITED,10444975.252992
66,70,InterGlobe Aviation Limited,INE646L01027,INDIGO,"7 2,262.13",INDIGO,"7 2,255.88",,,"72,259.00",Large Cap,INDIGO,53.0,InterGlobe Aviation Limited,13697032.747198502
67,71,"Dr. Reddy's Laboratories Ltd.,",INE089A01023,DRREDDY,"7 2,172.62",DRREDDY,"7 2,158.29",,,"72,165.45",Large Cap,DRREDDY,77.0,Dr. Reddy's Laboratories Limited,10272502.002014
